Name,Page URL,Category,Location,Phone Number,Email,Website URL
Chatkhara Treats ,https://www.facebook.com/chatkhara.treats,Restaurant,"27, J-2, WAPDA TOWN, Lahore, Pakistan",0322 7868912,Mona14512@icloud.com,None
TruckCafe ,https://www.facebook.com/truckcafepk,Fast food restaurant,"123/3 Quad-E-Azam Industrial Estate, Haseen Habib Road, Lahore, Pakistan",None,None,truckcafe.pk
Food Freedom ,https://www.facebook.com/foodfreedompak,Fast food restaurant,"K, Block, Sabzazar Multan Road , Lahore, Pakistan",0321 9447992,shoaib_mahmood123@hotmail.com,foodfreedom.com
Estoresbuy ,https://www.facebook.com/unstitched31,Clothing store,"Lahore, Pakistan",0305 5598990,None,tijaratmart.com
The Food Studio ,https://www.facebook.com/foodstudioofficial,Food Stand,"DHA Lahore, Lahore, Pakistan",0308 4067684,None,None
Dunken Dine ,https://www.facebook.com/dunkendine,Fast food restaurant,"Allama Iqbal Town, Lahore, Pakistan",0316 3865361,info@dunkendine.com,dunkendine.com
tmbill.pk ,https://www.facebook.com/tmbill.pk,Restaurant,"56B Mohalanwal Scheme Shahkam Chowk, Bahria Town, Lahore, Pakistan",0302 4746062,tmbill.pk@gmail.com,None
Ahmed Dhai Ballay ,https://www.facebook.com/ahmeddhaiballay,Educational Consultant,"main bazar NIshat colony shop number 2 opposite Razzaqia Pan shop, Lahore, Pakistan",0324 4432815,mianfaizanxgp@gmail.com,None
Salva Dera ,https://www.facebook.com/SalvaDeraRestaurant,Restaurant,"Ghazi Rd, Gulshan e Ali Colony, Lahore, Punjab, Lahore, Pakistan",0321 4306983,None,None
Food Flash ,https://www.facebook.com/foodflash99,Fast food restaurant,"62 Shan Arcade Barkat Market Garden Town Lahore., Lahore, Pakistan",0310 4370000,None,None
Aroosh Food Gallery ,https://www.facebook.com/Arooshfoodgallery,Fast food restaurant,"533-15-B1 College Road Near Township, Lahore, Pakistan",0300 9400742,None,None
Chatkhara Zone ,https://www.facebook.com/ChatkhataZone,Food Consultant,"Hall road lahore, Lahore, Pakistan",0332 4678415,None,uoslahore.edu.pk
VD- Vestern Desi ,https://www.facebook.com/VesternDesi,Local business,"Street 10, Sector Z DHA Phase 3, Lahore, Pakistan",0334 6074307,VesternDesi@gmail.com,muhammadmehrozemas.wixsite.com/mysite
Àltino Food Court ,https://www.facebook.com/byAltinofoods,Pizza place,"Opposite Superior Univeristy, Raiwand Road, Lahore, Pakistan",0300 0066006,mussarat13@hotmail.com,altinofoods.com
Energy Cafe ,https://www.facebook.com/energycafepk,Restaurant,"50 - E1 Gulberg 3 , Lahore, Pakistan",None,energy.cafe@shapes.pk,shapes.pk
Mini Pancakes PK ,https://www.facebook.com/minipancakespakistan,Local business,"Level 1, Emporium Mall, Lahore, Pakistan",0322 4621614,None,minipancakes.pk
Taste Based Kitchenette ,https://www.facebook.com/TasteBased,Restaurant,"Race View,Jail Road , Lahore, Pakistan",0322 2224722,anwaar_220@hotmail.com,None
Smoke shop fortress square Mall Lahore ,https://www.facebook.com/smokeshop.shah,Tobacco Store,"fortress square, Lahore, Pakistan",0323 6063832,syedabdullah383@gmail.com,smokeshop.com
Redchilli Restaurant ,https://www.facebook.com/redchillifoodcourt,Fast food restaurant,"Red Chilli food court, Takbeer Block, Bahria Town, Lahore, Lahore, Pakistan",0324 4466554,redchillirestaurantlahore@gmail.com,None
Shashah's Kitchen ,https://www.facebook.com/ShaShahsKitchen,Fast food restaurant,"Lahore, Pakistan",None,fivziehfarhan@gmail.com,None
Chu-cha cafe n grill ,https://www.facebook.com/chuchacafe,Fast food restaurant,"Sami Town, Near Taj Bagh, Lahore, Pakistan",0321 4672597,None,None
Haye Mazay ,https://www.facebook.com/hayemazaypizza,Pizza place,"Phase VI, DHA, Lahore, Pakistan",0322 3221111,hayemazayinfo@gmail.com,None
KarachiDilpasand Biryani ,https://www.facebook.com/karachidilpasandbiryani,Pakistani Restaurant,"Lahore, Pakistan",0322 2226566,None,None
Cafe Heeva ,https://www.facebook.com/cafeheeva,Restaurant,"77-T Block, Commercial area, Lalik Jan chowk, DHA Phase-II, Lahore, Pakistan",None,None,cafeheeva.com
Crêpe d'affaire ,https://www.facebook.com/crepedaffaire,European Restaurant,"M.M Alam Road Gulberg , Lahore, Pakistan",None,None,crepedaffaire.com.pk
Lazzat-e-lahore ,https://www.facebook.com/lazzatelahore,Food delivery service,"Lahore, Pakistan",0313 4856752,lazzatelahor@gmail.com,None
