Name,Page URL,Category,Location,Phone Number,Email,Website URL
Bakery ,https://www.facebook.com/profile.php?id=100063985335498,Grocery Store,"lahore, Lahore, Pakistan",0300 4279398,None,None
Carlo's Bakery ,https://www.facebook.com/carlosbakery,Bakery,None,+1 201-659-3671,None,carlosbakery.com
Popular bakery ,https://www.facebook.com/profile.php?id=100066600609468,Bakery,"Popular bakery 8, Queens road, Amritsar, India, Punjab region",None,chirag.guptaa123@gmail.com,None
Sugaries Bakery ,https://www.facebook.com/sugariesbymahwishaziz,Bakery,"Phase 5, DHA, Near Zamzama Park. Karachi, Karachi, Pakistan",0300 9239641,sugaries.bakerypk@gmail.com,sugaries.com.pk
Forever Bakery ,https://www.facebook.com/foreverbakery,Bakery · Cafe,"20 m commercial area phase 1 DHA, Lahore, Pakistan",0311 4000060,None,Www.foreverbakery.pk
Magnolia Bakery ,https://www.facebook.com/MagnoliaBakery,Bakery,None,None,Hello@magnoliabakery.com,magnoliabakery.com
Layers bakery ,https://www.facebook.com/profile.php?id=61550617916456,Bakery,"Lahore , Lahore, Pakistan",None,None,None
Seven days bakery ,https://www.facebook.com/profile.php?id=100063723193921,Food & beverage company,None,None,None,None
TODO Bakery & Cafe ,https://www.facebook.com/profile.php?id=100077451038330,Local business,"Shop no UGF07, Mahagun Mart , Gaur City 2 , Greater Noida, India, Uttar Pradesh",+91 85888 18318,todobakerycafe@gmail.com,None
The Cakery Bakery ,https://www.facebook.com/thecakerylahore,Wholesale Bakery,"New Garden Town, Pakistan",0313 5525250,thecakerylahore@gmail.com,None
Nationals Bakery ,https://www.facebook.com/profile.php?id=100064795249264,Food & beverage company,None,None,None,nationalsbakery.com
Little Meringue Bakery ,https://www.facebook.com/littlemeringue.bakery,Restaurant,"Lahore, Lahore, Pakistan",0302 4560872,amna.kashif2003@hotmail.com,None
The Asian Bakery ,https://www.facebook.com/theasianbakery,Grocery Store,"Bahria Town, Lahore, Pakistan",None,None,None
Red Riding Hood Bakery PK ,https://www.facebook.com/RedRidingHoodBakeryPk,Local business,"23 C, Shop 7, Khy-e-Shamsheer, Phase 5, DHA, Karachi 75500, Karachi, Pakistan",None,theridinghoodbakery@hotmail.com,None
Scratch Bakery ,https://www.facebook.com/scratchbakery1,Food & beverage company,"Rocky River, OH, United States, Ohio",None,scratch.bakery@yahoo.com,None
Bakery Story ,https://www.facebook.com/@bakerystory/,Games/toys,None,None,None,storm8.com
Linda's Bakery ,https://www.facebook.com/LindasTT,Bakery,None,+1 868-225-4632,tellus@lindastt.com,lindastt.com
Bakery Product ,https://www.facebook.com/profile.php?id=100057645301666,Food & beverage company,Saudi airlines cattring,None,tankapulamitm@gmail.com,Bakerycanfesnarry.WordPress.com
Dominique Ansel Bakery ,https://www.facebook.com/Dominique.Ansel.Bakery,Bakery · Cafe · Dessert Shop,"189 Spring St, New York, NY, United States, New York",+1 212-219-2773,info@dominiqueansel.com,dominiqueanselny.com
Smiley Coffee & Bakery ,https://www.facebook.com/profile.php?id=61550592719270,Cafe · Bakery,Delivery · Takeout · Dine-in…,None,None,None
Bakery Bites ,https://www.facebook.com/Thebakerybites,Bakery,None,0309 9915561,None,None
Delicieux - Home Bakery ,https://www.facebook.com/delicieux.pk,Bakery,None,None,None,None
Julian Bakery ,https://www.facebook.com/julianbakery,Brand,None,None,customerservice@julianbakery.com,julianbakery.com
Wünderbar Bakery ,https://www.facebook.com/profile.php?id=100064321260813,Bakery,"Lahore, Pakistan",None,None,None
Dana's Bakery ,https://www.facebook.com/DanasBakery,Bakery,None,None,info@danasbakery.com,danasbakery.com
BB Brother Bakery ,https://www.facebook.com/bbbrotherbakery,Bakery,"Fategarh Churian Road, Opp. Cooperative Bank, Fair Land Colony, Amritsar, India, Punjab region",+91 98725 96466,brotherbakeryindia@gmail.com,brotherbakery.com
