Name,Page URL,Category,Location,Phone Number,Email,Website URL
Awakening Coffee Shop ,https://www.facebook.com/AwakeningCoffeeShop,Coffee shop,"56 Lyon Avenue, New York, NY, United States, New York",None,melvinoksborne@yahoo.com,None
Coffee SHOP ,https://www.facebook.com/bilal.coffeeshop,Coffee shop,"151 HINDON VIHAR, Ghaziabad, India, Uttar Pradesh",+91 75038 75786,bilalred2115@gmail.com,None
Coffee Shop ,https://www.facebook.com/Coffeeshopstore1,Website,None,None,None,coffeeshopstore.com
The Coffee Shop ,https://www.facebook.com/TheCoffeeShopTH,Tea Room,"226 Y Block, Phase 3, DHA, Lahore, Pakistan",0307 7788879,None,None
Coffee Shop ,https://www.facebook.com/coffeeshoplhe,Restaurant,"Lahore, Lahore, Pakistan",0333 1234567,None,None
Coffee Shop Lovers ,https://www.facebook.com/CoffeeShopLvers,Website,None,None,None,coffeeshoplovers.com
Coffee SHOP ,https://www.facebook.com/CoffeeShopSaintKitts,Coffee shop,"Port Zante , Basseterre, Saint Kitts and Nevis",+1 869-466-9993,coffeeshopstkitts@gmail.com,None
The Coffee Shop - New Delhi ,https://www.facebook.com/thecoffeeshop.newdelhi,Coffee shop,"PVR Anupam Shopping Complex Ground Floor Shop no 8, Saket, Delhi, India, Delhi",+91 99322 04622,thecoffeeshopnewdelhi@gmail.com,thecoffeeshop.in
The Coffee Shop  ,https://www.facebook.com/TheCoffeeShopStanley,Coffee shop · Farmers Market · Live Music Venue,"115 E Main St, Stanley, VA, United States, Virginia",+1 540-778-1111,thecoffeeshop.stanley@gmail.com,coffeeshopllc.com
Coffeeshop Company Egypt ,https://www.facebook.com/CoffeeShopCompanyEgypt,Coffee shop,"بورسعيد: شارع الجمهورية- أمام مسجد السلام , Port Said, Egypt",None,None,coffeeshopcompany.com
Barista coffee shop ,https://www.facebook.com/barista777,Coffee shop,"Hotel Jewel's Barista coffee Co. Ltd near ndri chowk , Karnal, India, Haryana",+91 97291 16623,barista@hoteljewels.in,barista.co.in
Coffee shop ,https://www.facebook.com/romano.connelly,Restaurant,"#89 national highway barrio barretto, Olongapo, Philippines",+63 47 222 9350,None,None
Coffee Shop Owners UK ,https://www.facebook.com/profile.php?id=61554567658989,Coffee shop,None,None,None,facebook.com/groups/coffeeshopownersuk
Baristas Coffee Shop ,https://www.facebook.com/@BCSBaristascoffeeshop/,Coffee shop,"Gatthaghar, Bhaktapur, Nepal",+977 984-0699880,bcscoffeeshop@gmail.com,baristascoffeeschool.com.np
Infoga Coffee Shop ,https://www.facebook.com/profile.php?id=61553898373727,Cafe · Breakfast & Brunch Restaurant,"Model Town, Gujranwala, Pakistan",0315 1482342,hassan.nadeem.exp@gmail.com,None
Coffee Shop ,https://www.facebook.com/profile.php?id=100066551616162,Coffee shop,"coffee, Delhi, India, Delhi",+91 95603 54394,None,None
Justins Coffee Shop ,https://www.facebook.com/profile.php?id=100069035395182,Restaurant,None,0302 4092519,None,None
Coffee shop ,https://www.facebook.com/profile.php?id=100063923705384,Restaurant,None,0300 6248663,None,None
Coffee Shop ,https://www.facebook.com/profile.php?id=61553093485172,Food & Drink · Food delivery service · Restaurant,"Colombo, Bambalapitiya, Sri Lanka",+94 72 221 2925,coffeeitaly323@gmail.com,None
ABZ coffee shop ,https://www.facebook.com/profile.php?id=100066930841245,Coffee shop,"saidulajab, New Delhi, India, Delhi",+91 78378 74188,None,None
The Coffee Shop ,https://www.facebook.com/profile.php?id=100083106673938,Coffee shop,"Residency Road, Srinagar, Srinagar, India, Jammu and Kashmir",+1 979-691-0555,wasimsikandar87@gmail.com,None
Lovelocks Coffee Shop ,https://www.facebook.com/LovelocksCoffeeShop,Coffee shop,"27 Old Haymarket, Liverpool, United Kingdom",None,None,lovelocks.coffee
Coffee Shop ,https://www.facebook.com/profile.php?id=61559969812625,Coffee shop,516 Laurel Lane,+94 74 228 6385,amazonap7@gmail.com,None
Streetcar Station Coffee Shop ,https://www.facebook.com/StreetcarStationCoffeeShop,Coffee shop,"515 S Main St, Galena, KS, United States, Kansas",+1 620-783-5554,None,streetcarstation.com
CoffeeShop ,https://www.facebook.com/InCoffeeShop.Coffee,Coffee shop,"New York, NY, United States, New York",None,Contact@incoffeeshop.com,incoffeeshop.com
Al Batra Restaurant & Coffee shop ,https://www.facebook.com/profile.php?id=100063938836170,Coffee shop,"Second Floor, AM Flores Building, 2 Constellation Street, Bel-Air 2, Makati, Philippines",None,None,albatrarestaurant.com
Coffee shop ,https://www.facebook.com/abhigupta5555,Movie,None,None,None,None
Irish Coffee Shop ,https://www.facebook.com/IrishCoffeeShop,Coffee shop,None,None,None,None
Indirock Coffee Shop ,https://www.facebook.com/indirockcoffeeshop,Coffee shop,"Indirock, Victoria Shopping Centre, Southend-on-Sea, United Kingdom",+44 1702 969988,hello@indirock.co.uk,indirock.co.uk
Coffee Shop Works ,https://www.facebook.com/profile.php?id=100063674702002,App page,None,None,None,itunes.apple.com/us/artist/coffee-shop-works/id379871723
Savories Coffee Shop ,https://www.facebook.com/savoriescoffee,Coffee shop,"2993 N Webb Rd, Wichita, KS, United States, Kansas",+1 316-239-4775,shawnsavories@yahoo.com,None
Ganesh-Baba Coffee Shop ,https://www.facebook.com/profile.php?id=100071501589000,Coffee shop,"Pune, India, Maharashtra",+91 97667 84672,None,None
Coffee Shop Usa ,https://www.facebook.com/profile.php?id=100075624413591,E-commerce website,None,None,None,None
Gemma's Coffee Shop ,https://www.facebook.com/Gemmascoffeeshop,Coffee shop,"11601 S Lacore Rd, Empire, MI, United States, Michigan",+1 231-326-2044,gemmasempire@yahoo.com,None
"Fran’s Cafe & Coffee Shop, LLC ",https://www.facebook.com/profile.php?id=100083224873129,Coffee shop,"48 County Road 134 Bruce, MS 38915, United States, Bruce, MS, United States, Mississippi",+1 662-983-5918,franscafeandcoffee@hotmail.com,None
The Nest Coffee Shop ,https://www.facebook.com/TheNestCoffeeShop,Coffee shop,"St John's Cathedral, 4-8 Garden Road, Tsim Sha Tsui, Hong Kong",None,theneststandrews@gmail.com,nesbittcentre.org.hk
Vickery's Coffee Shop & Restaurant ,https://www.facebook.com/VickerysCoffeeShop,Coffee shop,"Vickery Seedlings, Main Road, Malkerns, Swaziland",+268 7867 7696,kinny7509@gmail.com,None
Central Park Coffee Shop ,https://www.facebook.com/profile.php?id=100057534845582,Coffee shop,"51 McLelland Drive, Kilmarnock, United Kingdom",+44 1563 550265,centralparkcoffeeshop@gmail.com,central-park-coffee-shop.co.uk
Coffee Shop ,https://www.facebook.com/borocoffeeshop,Coffee shop,"276 Linthorpe Road, Middlesbrough, TS1 3QS, United Kingdom, Middlesbrough, United Kingdom",+44 7907 004090,None,borocafe.co.uk
Coffee Shop Experts ,https://www.facebook.com/profile.php?id=100081457577632,Coffee shop,"Vista, CA, United States, California",+1 866-512-6748,None,advanced-fabrication.com
